numero;nome;partido;cargo;propostas;arquivo;instagram
2220;AGACIEL MAIA;PL;deputado federal;4;2220-agaciel-maia.png;https://www.instagram.com/AGACIELMAIA
5555;CAROL FLEURY;PSD;deputado federal;3;5555-carol-fleury.png;https://www.instagram.com/CAROLFLEURYOFICIAL
1086;CAROL FURLAN;REPUBLICANOS;deputado federal;8;1086-carol-furlan.png;https://www.instagram.com/CAROLINEFURLAN86?IGSH=MWWZB3ZMYZRMDTRLMQ%3D%3D
1400;CRIS CAIADO;MISSÃO;deputado federal;8;1400-cris-caiado.png;https://instagram.com/soucriscaiado
5551;DELEGADO NUGOLI;PSD;deputado federal;8;5551-delegado-nugoli.png;https://www.instagram.com/delegadonugoli
5050;FÁBIO FELIX;PSOL;deputado federal;8;5050-fabio-felix.png;https://www.instagram.com/FABIOFELIXDF
1522;HÉLVIA PARANAGUÁ;MDB;deputado federal;6;1522-helvia-paranagua.png;https://www.instagram.com/HELVIAPARANAGUA
1001;LIZA LOPES;REPUBLICANOS;deputado federal;8;1001-liza-lopes.png;https://www.instagram.com/LIZALOPES.DF
2201;MARIANA NAIME;PL;deputado federal;2;2201-mariana-naime.png;https://www.instagram.com/MARIANA.NAIME
1230;PROFA. FÁTIMA SOUSA;PDT;deputado federal;2;1230-profa-fatima-sousa.png;https://www.instagram.com/PROFATIMASOUSA
4400;PROFESSOR FRANCELINO;UNIÃO;deputado federal;6;4400-professor-francelino.png;https://www.instagram.com/professorfrancelino
4080;PROFESSOR GADELHA;PSB;deputado federal;8;4080-professor-gadelha.png;https://www.instagram.com/PROF.JOSEGADELHA
4000;RAQUEL MEDEIROS;PSB;deputado federal;8;4000-raquel-medeiros.png;https://www.instagram.com/RAQUELMEDEIROSDF?IGSH=MWO1Z3I1ATJVEMXMZQ%3D%3D&UTM_SOU=
1015;RAVAN LEÃO;REPUBLICANOS;deputado federal;8;1015-ravan-leao.png;https://www.instagram.com/ravanleao
4040;ROLLEMBERG;PSB;deputado federal;8;4040-rollemberg.png;https://www.instagram.com/rollembergbsb
1361;RUTH VENCEREMOS;PT;deputado federal;8;1361-ruth-venceremos.png;https://www.instagram.com/RUTHVENCEREMOS
1324;VANESSA É O BICHO;PT;deputado federal;4;1324-vanessa-e-o-bicho.png;https://www.instagram.com/VANESSAEOBICHO
77123;ADERVAL;SOLIDARIEDADE;deputado distrital;1;77123-aderval.png;
20100;ALEX GALVÃO;PODE;deputado distrital;2;20100-alex-galvao.png;https://www.instagran.com/alexgalvaodf
18018;ANGELINA NARDELLI;REDE;deputado distrital;5;18018-angelina-nardelli.png;https://www.instagram.com/ANGELINA_NARDELLI_QUAGLIA?IGSH=MW15AMG2ENQ5BNVKMG%3D%3D
14014;ARTHUR GURGEL;MISSÃO;deputado distrital;8;14014-arthur-gurgel.png;https://instagram.com/arthurgurgeladv
65180;BERÊ DARC;PCDOB;deputado distrital;8;65180-bere-darc.png;https://www.instagram.com/BEREDARC?IGSH=MWZ2DGZJN2Q5BDU%3D
10100;BISPO RENATO ANDRADE;REPUBLICANOS;deputado distrital;7;10100-bispo-renato-andrade.png;https://www.instagram.com/BISPORENATOANDRADE?IGSH=D3NSAHM1DJJYC
20333;CAPITÃO ADERIVALDO CARDOSO;PODE;deputado distrital;6;20333-capitao-aderivaldo-cardoso.png;https://www.instagram.com/ADERIVALDO_MARTINS?IGSH=OWY0NZBSAJZWA2JV
55888;CLEBER DF AGUASCLARAS;PSD;deputado distrital;8;55888-cleber-df-aguasclaras.png;https://www.instagram.com/CLEBERDFAGUASCLARAS
20122;CORONEL MICHELLO;PODE;deputado distrital;1;20122-coronel-michello.png;https://www.instagram.com/tc_michello
40222;DAYSE AMARILIO;PSB;deputado distrital;3;40222-dayse-amarilio.png;https://www.instagram.com/DAYSEAMARILIO
15777;DELEGADO JONATAS;MDB;deputado distrital;8;15777-delegado-jonatas.png;https://www.instagram.com/DELEGADOJONATAS
10456;DELMASSO;REPUBLICANOS;deputado distrital;3;10456-delmasso.png;https://www.instagram.com/DEPUTADODELMASSO?IGSH=NGWWD2JMNXB5CNZK
10888;DENISE FRANCO;REPUBLICANOS;deputado distrital;7;10888-denise-franco.png;https://www.instagram.com/DENISEFRANCO.DF
15678;DR. CANDIDO TELES;MDB;deputado distrital;3;15678-dr-candido-teles.png;https://www.instagram.com/DRCANDIDOTELES
30022;DR. ERIC GUSTAVO;NOVO;deputado distrital;8;30022-dr-eric-gustavo.png;https://www.instagram.com/ERICGUSTAVODF
22221;DRA CRIS;PL;deputado distrital;7;22221-dra-cris.png;
44101;DRA SUZANA LIMA;UNIÃO;deputado distrital;3;44101-dra-suzana-lima.png;https://www.instagram.com/dra_suzanagomeslima23
43000;EDUARDO BRANDÃO;PV;deputado distrital;5;43000-eduardo-brandao.png;https://www.instagram.com/EDUARDOBRANDAOPV?IGSH=MXBSMTK1BWL6ATVOEQ%3D%3D
44000;EDUARDO PEDROSA;UNIÃO;deputado distrital;8;44000-eduardo-pedrosa.png;https://www.instagram.com/EDUARDOWPEDROSA?IGSH=ZXU5EJF2OTV0N2IY
18486;ELIANA VETERINÁRIA;REDE;deputado distrital;8;18486-eliana-veterinaria.png;
10222;ESTEFANE SAMPAIO;REPUBLICANOS;deputado distrital;8;10222-estefane-sampaio.png;https://www.instagram.com/ESTEFANESAMPAIO
13007;FABIANO TROMPETISTA;PT;deputado distrital;5;13007-fabiano-trompetista.png;https://www.instagram.com/FABIANOTROMPETISTA
33456;ITALO MIRANDA;MOBILIZA;deputado distrital;1;33456-italo-miranda.png;https://www.instagram.com/reclameaquidogama?stkn=YzRyejM1eWh3amVu&utm_source=qr
11410;IURI MARQUES;PP;deputado distrital;1;11410-iuri-marques.png;
13001;JACY AFONSO;PT;deputado distrital;6;13001-jacy-afonso.png;https://www.instagram.com/JACYAFONSOPT
22888;JOÃO CARDOSO;PL;deputado distrital;1;22888-joao-cardoso.png;https://instagram.com/JOAOCARDOSOBRASILIA
22000;JOAQUIM RORIZ NETO;PL;deputado distrital;3;22000-joaquim-roriz-neto.png;https://www.instagram.com/JOAQUIMRORIZNETO
22190;JULIA LUCY;PL;deputado distrital;6;22190-julia-lucy.png;https://www.instagram.com/JULIALUCYDF
50123;KEKA BAGNO;PSOL;deputado distrital;8;50123-keka-bagno.png;https://www.instagram.com/KEKABAGNO/?HL=EN
44197;LACÍ MARINHO;UNIÃO;deputado distrital;3;44197-laci-marinho.png;
15555;MARCELA PASSAMANI;MDB;deputado distrital;3;15555-marcela-passamani.png;https://www.instagram.com/MARCELAPASSAMANIOFICIAL
50000;MICHEL PLATINI;PSOL;deputado distrital;8;50000-michel-platini.png;https://www.instagram.com/MICHELPLATINIDF
50511;MOUSTAFA;PSOL;deputado distrital;8;50511-moustafa.png;https://www.instagram.com/MOUSTAFADF
30444;PEDRO PAYNE;NOVO;deputado distrital;1;30444-pedro-payne.png;https://www.instagram.com/PEDROPAGANO
14444;PERITA TIROTTI;MISSÃO;deputado distrital;3;14444-perita-tirotti.png;https://www.instagram.com/peritatirotti
10022;PINHO;REPUBLICANOS;deputado distrital;3;10022-pinho.png;https://www.instagram.com/PENSEPINHODF
22422;POLICIAL JOÃO RENATO;PL;deputado distrital;8;22422-policial-joao-renato.png;https://www.instagram.com/JOAORENATO.BR
30333;REGIS MACHADO;NOVO;deputado distrital;7;30333-regis-machado.png;https://www.instagram.com/REGISMACHADO.DF
11001;REJANE COSTA;PP;deputado distrital;4;11001-rejane-costa.png;
14040;RHAILLER SANTOS;MISSÃO;deputado distrital;2;14040-rhailler-santos.png;https://instagram.com/distritaldamissao
20000;ROBÉRIO NEGREIROS;PODE;deputado distrital;8;20000-roberio-negreiros.png;
40400;RODRIGO DIAS;PSB;deputado distrital;4;40400-rodrigo-dias.png;https://www.instagram.com/RODRIGODIASBSB
55123;ROGERIO MORRO DA CRUZ;PSD;deputado distrital;8;55123-rogerio-morro-da-cruz.png;https://www.instagram.com/ROGERIOMORRODACRUZ
13000;ROSI COSTA;PT;deputado distrital;1;13000-rosi-costa.png;https://www.instagram.com/ROSICOSTADF
33123;SARDINHA;MOBILIZA;deputado distrital;6;33123-sardinha.png;https://www.instagram.com/SARDINHA
12300;ZAQUEU ENGRAXATE;PDT;deputado distrital;3;12300-zaqueu-engraxate.png;https://www.instagram.com/ZAQUEUDISTRITAL
